,3DCNN_prof,ProQ3D,GraphQA,angleQA,ProQ2,DAVIS-EMAconsensus,BAKER-ROSETTASERVER,BAKER-experimental,P3De,ModFOLD8,tFold-IDT,VoroCNN-GDT,VoroCNN-GEMME,DeepPotential,Ornate,SBROD,GR#,NP_P,RANK,Z-M1-GDT,Z-MA-GDT,GDT_HA,GDC_SC,GDC_ALL,RMS_CA,RMS_ALL,NP,err,AL0_P,AL4_P,ALI_P,LGA_S,RMSD[L],Z-score[M],Z-Score[D],Al.Res.,RMSD[D],MolPrb_Score,LDDT,SphGr,CAD_AA,RPF,CODM,DFM,Handed.,SOV,CE,QCS,CONTS,TMscore,Dali(raw),FlexE,QSE,CAD_SS,MolPrb_clash,MolPrb_rotout,MolPrb_ramout,MolPrb_ramfv,N1,N2,DIST,N,RMSD,GDT_TS,LGA_S3,LGA_Q,Target
T1066s2TS151_3,0.03112,0.238162,0.109,0.184,0.299,0.14805,0.2975,0.3969,0.1970026,0.19489264,0.588,0.373,0.292,0.23013479,0.41,0.188588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS063_3,0.00867,0.209236,0.101,0.168,0.212,0.13383,0.2373,0.2292,0.16043028,0.13629225,0.528,0.277,0.249,0.1522134,0.351,0.150735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS170_4,0.04291,0.276264,0.170,0.248,,0.15896,0.2775,0.3305,0.2467736,0.21980456,0.665,0.382,0.352,0.22537859,0.431,0.248493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS151_2,0.00950,0.222047,0.180,0.167,0.277,0.16292,0.3002,0.3174,0.1735706,0.19017696,0.627,0.369,0.347,0.26088378,0.427,0.209326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS063_5,0.00653,0.214672,0.104,0.174,0.174,0.12858,0.2383,0.3424,0.15736395,0.14418718,0.608,0.341,0.301,0.1815805,0.385,0.242828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS259_4,0.17143,0.441507,0.750,0.322,0.648,0.15854,0.3804,0.3928,0.4261151,0.30396402,0.715,0.432,0.416,0.42071617,0.435,0.256424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS052_1,0.06138,0.338525,0.184,0.316,0.497,0.16281,0.3232,0.4663,0.315128,0.27060348,0.623,0.363,0.333,0.27553776,0.393,0.240270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS033_5,0.02160,0.214606,0.121,0.209,0.140,0.13254,0.2386,0.2145,0.16499537,0.15612279,0.522,0.283,0.246,0.16261865,0.329,0.174287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1066s2TS063_1,0.01364,0.221647,0.120,0.164,0.206,0.14388,0.2373,0.2505,0.16579678,0.15675204,0.593,0.277,0.258,0.18981063,0.376,0.166327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1067TS151_2,0.00497,0.211089,0.146,0.151,0.217,0.08283,0.2337,0.3199,0.15918963,0.1738306,0.499,0.333,0.329,0.111404136,0.418,0.190588,151s,100.0,469.0,,-2.11,6.22,0.52,2.34,20.488000000000003,20.631,221.0,2.0,0.45,1.36,22.62,15.58,2.38,-0.8,0.0,0.0,,2.89,0.18,8.6,0.34,0.09,0.08,2.26,0.51,26.9,1.64,29.15,27.23,0.18,,170.48,,0.04,41.73,0.54,10.05,74.89,221.0,221.0,4.0,22.0,2.88,10.973,8.852,0.737,T1067
T1067TS063_3,0.01032,0.178173,0.139,0.141,0.034,0.08059,0.2425,0.2239,0.1287791,0.1440909,0.395,0.266,0.250,0.12627976,0.34,0.184526,063s,100.0,480.0,,-2.24,4.87,0.52,1.78,33.083,33.943000000000005,221.0,0.0,0.45,3.17,21.72,14.496,2.65,-2.18,0.0,0.0,,3.17,0.15,7.01,0.31,0.09,0.04,2.72,0.52,29.4,1.24,26.69,25.37,0.17,,1118.04,91.42,0.03,87.14,2.15,3.65,91.32,221.0,221.0,4.0,20.0,2.98,9.276,7.761,0.65,T1067
T1067TS170_4,0.01218,0.210651,0.109,0.146,,0.08493,0.2337,0.2647,0.1555366,0.1641349,0.491,0.275,0.295,0.09560829,0.417,0.181475,170s,100.0,480.0,,-2.24,4.64,0.78,1.78,21.175,21.553,221.0,0.0,0.45,1.36,20.36,14.454,2.48,-0.02,0.0,0.0,,3.3,0.17,7.01,0.32,0.06,0.03,2.16,0.5,36.3,2.58,28.97,24.31,0.17,,180.45,,0.04,96.54,2.15,4.57,88.13,221.0,221.0,4.0,19.0,2.97,9.276,7.291,0.62,T1067
T1067TS151_1,0.00876,0.208991,0.178,0.146,0.174,0.08847,0.2426,0.2992,0.15359505,0.18855104,0.508,0.352,0.340,0.14347114,0.421,0.168964,151s,100.0,461.0,-1.8,-1.92,6.9,1.24,2.85,18.684,19.089,221.0,3.0,0.0,1.36,22.17,13.288,2.7,-1.0,0.0,0.0,,3.39,0.21,7.92,0.35,0.12,0.16,2.02,0.49,39.1,3.07,35.07,28.31,0.23,,199.3,,0.05,62.16,2.69,9.59,74.43,221.0,221.0,4.0,26.0,2.59,13.462,10.653,0.968,T1067
T1067TS437_1,0.01498,0.208288,0.162,0.140,0.070,0.09236,0.2471,0.1967,0.1650926,0.17194632,0.416,0.268,0.259,0.118753985,0.357,0.209659,437s,100.0,440.0,-1.41,-1.51,10.97,2.85,6.51,28.377,29.337,221.0,0.0,11.31,20.36,53.85,50.002,1.65,4.43,12.6,123.0,2.3,3.09,0.2,9.05,0.34,0.13,-0.0,2.14,0.53,37.1,4.89,33.7,27.69,0.25,995.6,1109.32,56.95,0.05,65.0,2.69,1.83,92.24,221.0,221.0,4.0,43.0,2.42,18.665,15.079,1.705,T1067
T1067TS170_2,0.01140,0.239294,0.143,0.165,0.293,0.08174,0.2473,0.3564,0.1896809,0.19074322,0.542,0.369,0.331,0.11738534,0.417,0.256478,170s,100.0,471.0,,-2.13,5.88,0.86,2.24,21.594,22.541,221.0,1.0,0.45,1.81,20.36,15.724,2.37,-0.54,0.0,0.0,,2.98,0.16,8.37,0.32,0.06,0.0,2.15,0.51,36.6,2.3,31.11,24.77,0.19,,243.23,,0.05,85.75,1.61,0.91,93.61,221.0,221.0,4.0,21.0,2.88,10.747,8.716000000000001,0.706,T1067
T1067TS305_5,0.01718,0.19089,0.090,0.153,0.022,0.08632,0.2831,0.2034,0.12964399,0.165537,0.360,0.249,0.241,0.110771194,0.33,0.073490,305s,100.0,469.0,,-2.11,6.9,1.85,3.98,26.737,27.363000000000003,221.0,0.0,0.0,8.14,17.19,13.140999999999998,2.46,-1.33,0.0,0.0,,3.95,0.12,9.28,0.34,0.13,0.31,2.39,0.44,26.1,1.24,31.59,27.87,0.16,,453.38,21.62,0.05,166.71,9.68,3.2,90.87,221.0,221.0,4.0,28.0,2.54,10.973,9.527,1.0590000000000002,T1067
T1067TS151_3,0.01489,0.216232,0.106,0.169,,0.09041,0.2687,0.3041,0.16498817,0.20392099,0.537,0.318,0.335,0.117461294,0.425,0.238502,151s,100.0,463.0,,-2.0,6.45,0.32,2.71,18.631,19.245,221.0,0.0,3.17,9.5,22.62,13.61,2.65,0.11,0.0,0.0,,3.2,0.2,10.63,0.36,0.11,0.17,2.04,0.5,45.2,1.64,34.27,31.21,0.22,,161.32,,0.05,41.73,3.23,5.48,81.28,221.0,221.0,4.0,23.0,2.55,12.33,9.879,0.867,T1067
T1067TS052_4,0.03551,0.263284,0.189,0.212,0.180,0.10691,0.3280,0.2756,0.2146713,0.23181584,0.409,0.315,0.285,0.16826448,0.369,0.213496,052s,100.0,450.0,,-1.6,9.62,2.28,5.87,22.231,23.054,221.0,7.0,10.86,21.72,25.34,16.219,2.58,0.11,0.0,0.0,,3.39,0.22,16.97,0.38,0.23,0.19,1.7,0.51,55.5,3.29,44.69,39.32,0.26,,235.59,30.5,0.08,141.19,0.0,11.42,76.26,221.0,221.0,4.0,39.0,2.51,17.534000000000002,14.24,1.497,T1067
T1067TS138_2,0.05269,0.334458,0.217,0.252,0.200,0.10955,0.3294,0.2885,0.2604681,0.24116497,0.418,0.317,0.312,0.21454136,0.403,0.251583,138s,100.0,456.0,,-1.82,7.46,2.16,3.78,21.809,22.357,221.0,1.0,3.17,16.74,23.98,15.312,2.49,-0.67,0.0,0.0,,3.86,0.26,15.16,0.39,0.22,0.26,1.79,0.41,54.9,3.07,42.73,37.76,0.24,,145.61,65.23,0.09,34.35,19.35,18.26,66.67,221.0,221.0,4.0,33.0,2.89,14.706,12.042,1.105,T1067
T1067TS169_1,0.03826,0.24724,0.172,0.198,0.200,0.09320,0.2917,0.2148,0.1981804,0.21102686,0.438,0.323,0.308,0.13960539,0.411,0.188752,169s,100.0,458.0,-1.75,-1.86,10.52,5.37,6.87,31.129,31.982,221.0,0.0,11.76,15.84,20.81,16.307000000000002,2.1,-1.0,0.0,0.0,,1.54,0.19,11.54,0.37,0.18,0.09,2.61,0.51,35.7,2.58,32.28,34.15,0.18,,1228.49,,0.09,0.0,2.69,4.57,81.74,221.0,221.0,4.0,34.0,2.23,14.14,12.237,1.462,T1067
T1067TS317_1,0.13108,0.321938,0.184,0.275,0.250,0.11807,0.3634,0.2762,0.2600608,0.2854606,0.457,0.313,0.325,0.308225,0.417,0.266649,317s,100.0,416.0,-0.7,-0.78,15.95,4.73,9.34,20.116,21.006,221.0,2.0,22.62,38.01,42.08,26.189,2.63,2.53,3.1,108.0,3.3,3.67,0.29,19.0,0.38,0.26,0.32,1.4,0.62,53.5,3.07,54.94,41.05,0.41,376.1,114.23,61.62,0.09,27.53,13.44,12.79,63.93,221.0,221.0,4.0,78.0,2.74,27.941,23.122,2.7430000000000003,T1067
T1067TS063_1,0.00373,0.169392,0.125,0.115,0.042,0.06913,0.2169,0.2179,0.11491324,0.13358766,0.434,0.266,0.266,0.09925652,0.361,0.148210,063s,100.0,495.0,-2.23,-2.36,4.07,0.69,2.05,25.571,26.383000000000006,221.0,0.0,0.45,0.0,23.53,15.154000000000002,2.56,-1.92,0.0,0.0,,3.32,0.14,4.3,0.32,0.03,-0.05,2.61,0.5,24.4,2.3,24.05,21.71,0.14,,752.89,92.78,0.04,102.19,3.23,2.28,92.69,221.0,221.0,4.0,16.0,2.58,7.805,6.272,0.596,T1067
T1067TS170_3,0.00817,0.20659,0.115,0.157,0.235,0.08767,0.2324,0.2766,0.1607551,0.1712824,0.496,0.306,0.311,0.12441288,0.411,0.207272,170s,100.0,491.0,,-2.3,4.07,0.66,1.36,19.266,19.853,221.0,0.0,0.45,0.0,23.98,16.398,2.79,-1.92,0.0,0.0,,3.46,0.17,4.75,0.32,0.05,0.03,2.19,0.5,48.8,2.3,34.33,24.09,0.18,,176.19,,0.03,105.05,4.3,1.37,91.78,221.0,221.0,4.0,16.0,3.16,8.484,7.206,0.491,T1067
T1067TS138_5,0.05061,0.27071,0.183,0.234,0.231,0.11817,0.3319,0.2943,0.2110568,0.2511799,0.432,0.307,0.311,0.19753252,0.406,0.232184,138s,100.0,438.0,,-1.34,9.72,1.53,4.8,21.888,22.689,221.0,4.0,8.14,29.41,34.39,21.915,2.52,1.75,0.0,0.0,,3.61,0.25,13.35,0.38,0.21,0.3,1.6,0.58,42.7,2.3,51.04,37.71,0.33,,122.61,66.56,0.06,28.1,12.9,10.5,70.78,221.0,221.0,4.0,50.0,2.89,20.814,17.052,1.673,T1067
T1067TS063_5,0.00659,0.170866,0.096,0.134,0.052,0.07551,0.2223,0.1207,0.11848926,0.12739973,0.329,0.210,0.213,0.12579226,0.294,0.114272,063s,100.0,474.0,,-2.16,6.33,0.9,2.67,79.512,81.337,221.0,0.0,0.0,0.0,17.19,11.92,2.74,-1.65,0.0,0.0,,2.89,0.13,5.2,0.31,0.06,0.12,2.83,0.53,33.1,1.64,27.99,23.31,0.15,,4876.19,92.19,0.04,44.56,2.69,2.28,93.15,221.0,221.0,4.0,22.0,2.55,10.294,8.531,0.83,T1067
T1067TS170_5,0.00414,0.208449,0.133,0.164,0.236,0.08079,0.2370,0.2506,0.15603876,0.17222807,0.488,0.313,0.328,0.11750981,0.394,0.184854,170s,100.0,476.0,,-2.21,4.63,0.41,2.24,19.614,20.231,221.0,0.0,1.36,1.36,18.1,10.282,2.89,-1.85,0.0,0.0,,3.44,0.17,5.2,0.33,0.06,-0.05,2.18,0.5,33.7,0.73,27.43,23.55,0.2,,295.52,,0.05,99.38,3.23,3.2,88.13,221.0,221.0,4.0,20.0,2.66,9.729,8.205,0.725,T1067
T1067TS052_2,0.04156,0.283706,0.179,0.211,0.210,0.10486,0.3158,0.2382,0.2298725,0.22981162,0.397,0.288,0.287,0.14270927,0.375,0.207413,052s,100.0,444.0,,-1.52,10.07,4.2,6.43,22.345,22.842,221.0,2.0,11.76,20.81,27.6,18.396,2.53,0.64,0.0,0.0,,3.27,0.22,15.61,0.38,0.23,0.2,1.95,0.58,51.2,3.89,42.51,38.29,0.26,,366.28,31.73,0.09,113.07,0.0,9.13,79.0,221.0,221.0,4.0,43.0,2.44,18.552,15.329,1.696,T1067
T1067TS031_2,0.36416,0.431942,0.357,0.388,0.285,0.13098,0.4650,0.5601,0.3888097,0.4088231,0.601,0.447,0.401,0.459422,0.484,0.370240,031s,100.0,89.0,,0.69,33.03,16.52,27.0,14.419,15.439,221.0,0.0,47.06,56.56,60.63,49.842,1.81,5.67,13.5,152.0,2.8,2.02,0.43,43.89,0.49,0.44,0.47,0.98,0.65,44.8,4.42,66.87,56.97,0.58,1210.8,59.67,68.39,0.25,2.27,2.69,5.02,83.11,221.0,221.0,4.0,121.0,1.91,46.719,39.673,6.021,T1067
T1067TS063_4,0.00911,0.18921,0.130,0.141,0.081,0.08622,0.2470,0.2425,0.13120657,0.14459875,0.390,0.257,0.274,0.12761891,0.349,0.154101,063s,100.0,494.0,,-2.35,4.18,0.83,2.12,22.168000000000006,22.769,221.0,4.0,0.0,1.81,17.65,10.294,2.93,-1.52,0.0,0.0,,4.01,0.17,6.79,0.3,0.03,-0.16,2.46,0.5,32.1,2.3,26.4,23.02,0.16,,295.47,92.49,0.04,191.03,5.91,3.2,83.56,221.0,221.0,4.0,17.0,2.76,7.919,6.789,0.594,T1067
T1068TS151_3,0.01541,0.246477,0.078,0.164,0.192,0.13015,0.3117,0.3041,0.17895851,0.22938564,0.635,0.318,0.327,0.17567201,0.436,0.188823,151s,100.0,462.0,,-1.77,12.29,1.58,5.51,16.354,17.332,179.0,1.0,0.0,0.0,30.17,20.811,2.19,-1.04,0.0,0.0,,3.28,0.3,21.23,0.43,0.27,0.41,1.53,0.51,48.6,3.5,38.85,51.31,0.3,,90.99,,0.1,60.72,1.72,11.64,69.84,191.0,179.0,4.0,40.0,2.76,21.648000000000003,18.608,1.3969999999999998,T1068
T1068TS063_2,0.00702,0.164237,0.073,0.116,0.026,0.08150,0.2127,0.1956,0.10709456,0.13888393,0.463,0.228,0.225,0.090800434,0.314,0.125966,063s,100.0,501.0,,-2.67,5.17,1.03,1.57,24.185,24.239,179.0,3.0,0.0,0.0,26.26,17.153,2.69,-1.27,0.0,0.0,,3.55,0.17,7.26,0.28,0.09,0.12,2.37,0.49,9.4,3.07,17.11,25.01,0.13,,186.15,91.79,0.03,102.15,4.02,3.7,87.3,191.0,179.0,4.0,18.0,3.2,9.078,7.824,0.545,T1068
T1068TS170_3,0.01493,0.216676,0.099,0.127,0.164,0.10844,0.2435,0.2556,0.15570655,0.17915305,0.583,0.297,0.292,0.13830583,0.402,0.196807,170s,100.0,494.0,,-2.46,8.38,0.83,2.47,20.48,21.034,179.0,0.0,0.56,10.61,25.7,14.845,2.8,-0.96,0.0,0.0,,3.49,0.18,8.38,0.34,0.11,0.1,2.17,0.5,43.5,1.99,24.13,31.92,0.17,,105.7,,0.06,95.19,4.02,2.65,88.36,191.0,179.0,4.0,21.0,2.78,12.011,10.129,0.73,T1068
T1068TS070_3,0.21165,0.381397,0.302,0.384,0.494,0.14648,0.3647,0.4851,0.318845,0.32331115,0.708,0.436,0.407,0.29512307,0.469,0.381035,070s,100.0,431.0,,-1.32,20.81,5.19,9.39,20.914,21.367,179.0,0.0,23.46,25.14,33.52,28.617,1.96,0.71,2.4,80.0,5.2,1.07,0.35,37.15,0.52,0.39,0.44,1.25,0.6,81.8,3.07,52.78,62.15,0.32,265.5,196.74,59.01,0.18,0.63,0.0,1.59,94.71,191.0,179.0,4.0,51.0,2.44,27.933000000000003,24.673,2.006,T1068
T1068TS151_2,0.04507,0.291505,0.096,0.226,0.323,0.13270,0.3105,0.4726,0.2355792,0.2412596,0.658,0.338,0.346,0.18335119,0.457,0.277382,151s,100.0,472.0,,-1.95,12.01,2.28,6.06,16.064,16.798,179.0,1.0,1.12,21.23,32.96,24.081,2.43,-0.35,0.0,0.0,,2.83,0.28,20.39,0.44,0.26,0.38,1.52,0.55,67.1,3.29,43.99,51.42,0.27,,72.05,,0.09,27.51,1.72,5.82,80.95,191.0,179.0,4.0,34.0,2.48,19.134,16.135,1.32,T1068
T1068TS278_4,0.22743,0.389425,0.165,0.340,0.529,0.13495,0.3171,0.4891,0.3354946,0.2910627,0.804,0.455,0.440,0.21239983,0.517,0.331204,278s,100.0,456.0,,-1.66,15.92,4.7,7.17,16.258,16.737000000000002,179.0,2.0,0.0,0.0,35.2,22.92,2.62,-0.12,0.0,0.0,,1.33,0.29,27.37,0.48,0.28,0.35,1.68,0.5,59.1,4.25,42.81,56.59,0.25,,77.17,65.1,0.15,2.53,0.0,2.12,95.77,191.0,179.0,4.0,36.0,2.5,23.184,18.765,1.385,T1068
T1068TS170_2,0.00963,0.216707,0.074,0.129,0.130,0.09815,0.2342,0.2436,0.14759953,0.1621863,0.549,0.281,0.285,0.13514146,0.397,0.156848,170s,100.0,493.0,,-2.44,6.57,1.4,4.07,19.073,19.519,179.0,2.0,0.56,4.47,24.58,16.375,2.61,-1.88,0.0,0.0,,3.77,0.17,9.78,0.32,0.08,0.11,2.15,0.5,25.9,2.3,23.57,26.96,0.18,,89.27,,0.04,183.11,3.45,3.7,86.24,191.0,179.0,4.0,18.0,2.06,12.291,9.632,0.835,T1068
T1068TS151_4,0.18667,0.313829,0.221,0.229,0.404,0.15147,0.3590,0.3065,0.2694439,0.312044,0.564,0.359,0.370,0.36788762,0.422,0.310097,151s,100.0,417.0,,-1.04,20.81,7.91,14.3,12.075,12.812,179.0,35.0,27.93,35.75,40.78,33.094,2.17,2.32,2.6,97.0,4.2,3.44,0.33,29.05,0.46,0.36,0.58,1.24,0.55,54.4,4.25,46.79,55.43,0.42,303.1,49.47,,0.14,72.99,2.3,12.17,71.43,191.0,179.0,4.0,59.0,2.07,31.844,27.293000000000006,2.72,T1068
T1068TS170_5,0.00668,0.217982,0.110,0.147,0.164,0.10408,0.2433,0.2741,0.16538061,0.18612716,0.579,0.309,0.315,0.1273848,0.419,0.242625,170s,100.0,485.0,,-2.32,8.38,2.27,4.75,20.594,20.934,179.0,0.0,0.0,6.15,21.79,15.686,2.56,-1.19,0.0,0.0,,3.25,0.16,8.38,0.35,0.14,0.2,1.94,0.5,36.6,1.99,25.9,33.28,0.18,,129.46,,0.06,82.23,3.45,1.59,92.59,191.0,179.0,4.0,23.0,2.35,13.966,11.009,0.937,T1068
T1068TS337_5,0.08590,0.3103,0.157,0.202,,0.14916,0.3630,0.4582,0.2665523,0.29496422,0.752,0.401,0.394,0.36223808,0.466,0.222576,337s,100.0,426.0,,-1.25,17.88,6.62,9.84,14.233,15.072,179.0,0.0,0.0,0.0,31.84,24.605,2.14,0.03,2.1,85.0,4.6,3.44,0.35,31.56,0.48,0.36,0.47,1.32,0.5,68.4,3.7,51.61,58.71,0.36,276.7,81.97,91.27,0.14,127.13,5.75,0.0,95.77,191.0,179.0,4.0,54.0,2.55,28.911,24.337,2.039,T1068
T1068TS063_3,0.00946,0.159523,0.064,0.127,0.030,0.07988,0.2380,0.1523,0.09612566,0.12463377,0.461,0.199,0.213,0.105587006,0.299,0.161594,063s,100.0,503.0,,-2.74,5.03,0.56,1.92,95.747,95.833,179.0,0.0,0.0,0.0,14.53,12.332,2.03,-1.19,0.0,0.0,,2.82,0.11,5.59,0.27,0.06,0.24,2.85,0.52,14.5,1.99,16.08,22.2,0.12,,5570.44,93.58,0.03,55.03,1.15,2.12,89.42,191.0,179.0,4.0,14.0,2.86,8.101,6.682,0.473,T1068
T1068TS319_1,0.33610,0.479759,0.405,0.464,0.642,0.16245,0.5659,0.5431,0.445985,0.39279908,0.786,0.466,0.436,0.68365395,0.488,0.421016,319s,100.0,191.0,0.47,0.47,35.48,18.87,28.16,5.55,6.195,179.0,0.0,49.16,73.18,75.98,56.557,2.17,6.74,12.3,156.0,3.1,2.91,0.52,66.76,0.57,0.58,0.83,0.45,0.83,72.5,5.73,79.06,71.13,0.65,970.5,12.1,77.74,0.28,78.43,1.15,4.76,91.53,191.0,179.0,4.0,110.0,2.1,52.933,48.108,4.992,T1068
T1068TS063_4,0.01222,0.177937,0.083,0.130,0.045,0.08855,0.2218,0.1957,0.11991098,0.13938381,0.477,0.209,0.213,0.115171626,0.315,0.152706,063s,100.0,495.0,,-2.53,6.84,2.43,4.23,34.625,35.205,179.0,4.0,1.12,2.79,25.14,16.537,2.77,-1.73,0.0,0.0,,3.62,0.16,6.98,0.29,0.08,-0.02,2.28,0.51,25.4,1.64,18.94,28.28,0.15,,888.4,91.29,0.03,124.6,3.45,4.23,85.19,191.0,179.0,4.0,18.0,2.09,11.034,8.88,0.8220000000000001,T1068
T1068TS170_1,0.01051,0.227244,0.089,0.130,0.185,0.10651,0.2400,0.3187,0.17183236,0.19004951,0.596,0.291,0.313,0.115230784,0.408,0.218189,170s,100.0,489.0,-2.42,-2.42,6.98,1.94,4.26,17.241,17.665,179.0,0.0,0.0,2.79,24.58,16.511,2.48,-1.57,0.0,0.0,,3.41,0.18,8.94,0.33,0.12,0.15,1.92,0.54,39.7,3.07,20.15,32.04,0.18,,100.04,,0.05,89.82,4.02,3.17,90.48,191.0,179.0,4.0,20.0,2.13,12.57,10.136,0.897,T1068
T1068TS317_4,0.13576,0.394499,0.255,0.247,0.460,0.14524,0.3530,0.3117,0.33075,0.3075594,0.614,0.344,0.344,0.36840856,0.419,0.209555,317s,100.0,415.0,,-1.0,20.67,7.31,14.79,11.303,11.779000000000002,179.0,3.0,29.61,35.2,42.46,32.788000000000004,2.3,2.62,3.4,106.0,4.3,3.58,0.34,31.84,0.46,0.31,0.46,1.25,0.62,74.2,4.42,50.97,54.1,0.41,364.4,32.62,63.55,0.13,27.83,13.79,12.7,75.66,191.0,179.0,4.0,64.0,2.11,32.402,27.876,2.897,T1068
T1068TS063_1,0.00945,0.160834,0.066,0.122,0.011,0.07583,0.2267,0.2128,0.09966329,0.11418561,0.460,0.210,0.197,0.10265747,0.303,0.180496,063s,100.0,504.0,-2.77,-2.77,4.33,0.71,1.99,84.75399999999998,85.274,179.0,1.0,0.0,0.0,20.67,13.316,2.81,-2.26,0.0,0.0,,2.95,0.11,5.31,0.27,0.06,0.21,2.86,0.54,14.8,0.73,12.21,21.34,0.11,,4620.37,93.25,0.02,41.75,4.02,3.17,94.18,191.0,179.0,4.0,13.0,2.42,7.682,6.617000000000001,0.515,T1068
T1068TS278_5,0.09026,0.337955,0.197,0.238,0.403,0.11300,0.2884,0.3555,0.2990382,0.27049422,0.711,0.450,0.402,0.19150247,0.476,0.257665,278s,100.0,482.0,,-2.18,9.78,2.62,4.12,18.815,19.253,179.0,1.0,0.0,0.0,29.61,16.721,2.89,-0.05,0.0,0.0,,1.7,0.25,18.71,0.39,0.2,0.27,1.73,0.5,43.1,2.3,30.08,43.83,0.2,,69.93,30.26,0.07,3.48,0.57,3.17,89.42,191.0,179.0,4.0,26.0,2.79,15.922,13.153,0.901,T1068
T1068TS170_4,0.05919,0.240813,0.102,0.141,0.193,0.10514,0.2464,0.2982,0.17493799,0.20423678,0.598,0.298,0.313,0.12551734,0.411,0.209441,170s,100.0,486.0,,-2.33,9.64,3.19,6.65,16.948,17.919,179.0,0.0,1.12,4.47,24.02,18.031,2.33,-0.89,0.0,0.0,,2.69,0.18,13.41,0.35,0.13,0.27,2.1,0.5,38.5,1.64,28.8,32.76,0.18,,75.93,,0.06,53.76,1.15,3.7,93.12,191.0,179.0,4.0,22.0,1.53,13.827,11.183,1.348,T1068
T1068TS460_5,0.07359,0.353291,0.123,0.178,0.438,0.12048,0.3289,0.2562,0.2977976,0.2910686,0.486,0.283,0.330,0.48992938,0.394,0.290403,460s,100.0,470.0,,-1.91,10.47,2.32,5.44,15.552,16.246,179.0,0.0,0.0,0.0,24.58,15.518,2.62,-0.74,7.3,135.0,14.4,3.97,0.33,12.85,0.44,0.42,0.69,1.97,0.24,43.2,5.04,45.95,56.03,0.29,628.6,29.87,81.61,0.14,125.87,4.02,10.05,53.97,191.0,179.0,4.0,40.0,2.77,19.693,16.325,1.395,T1068
T1068TS063_5,0.07871,0.21294,0.157,0.170,0.079,0.11056,0.2753,0.2806,0.16877512,0.21456838,0.529,0.311,0.310,0.13566335,0.386,0.167471,063s,100.0,478.0,,-2.11,12.71,3.0,8.33,43.619,43.78100000000001,179.0,0.0,0.0,0.0,22.35,19.525,2.01,-0.74,0.0,0.0,,2.51,0.2,17.6,0.44,0.28,0.41,2.49,0.46,40.0,3.5,23.55,49.86,0.19,,1368.78,84.61,0.09,55.03,1.15,0.53,96.3,191.0,179.0,4.0,33.0,1.68,16.899,15.15,1.857,T1068
T1069s1TS319_4,0.56570,0.519452,0.474,0.637,0.618,0.20892,0.5619,0.5426,0.4756848,0.45024037,0.710,0.521,0.549,0.51854414,0.513,0.677443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS063_5,0.02484,0.17312,0.126,0.115,0.006,0.06754,0.2032,0.1248,0.12835763,0.117441535,0.330,0.230,0.218,0.12780349,0.301,0.226547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS170_3,0.02317,0.255165,0.130,0.176,0.283,0.07028,0.2378,0.2242,0.2034214,0.20448211,0.488,0.359,0.378,0.09249443,0.405,0.272362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS042_4,0.59352,0.505175,0.535,0.630,0.707,0.25424,0.6388,0.5833,0.4944039,0.52753043,0.758,0.592,0.638,0.6399026,0.534,0.620186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS198_2,0.54346,0.550988,0.550,0.466,0.661,0.25025,0.5264,0.5472,0.5428664,0.55007356,0.649,0.501,0.499,0.44197053,0.487,0.538493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS097_1,0.51952,0.468834,0.536,0.490,0.546,0.24529,0.5545,0.5514,0.4291072,0.49247932,0.650,0.513,0.535,0.48335493,0.495,0.499760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T1069s1TS170_2,0.03257,0.250536,0.159,0.172,0.333,0.07117,0.2535,0.2572,0.2172343,0.18463841,0.532,0.390,0.404,0.09537406,0.427,0.282032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
